"Vic Mensa",220395,5O3RkxV98C4scNgom1Eaue,"Orange Soda",1523043678.989
"Dom Kennedy",218698,7gYtzSmzGgpO0WygzfJroD,"Locals Only",1523043465.252
"Dom Kennedy",198014,7yflDT7Hm2j9Y8BFqf5IqT,"Dream To Me",1523043272.298
"Dom Kennedy",193656,64j9yg1wGwHVcrdzM4bBBb,"Word Around Town",1523043083.622
"Dom Kennedy",193820,0mzYS3g5DbtQQ1yLnJn72T,"Lemonade",1523042895.989
"Swarvy",194692,19V6gNhV8iTnUVAuMs91TK,"Cherokee",1522988190.206
"Swarvy",66270,639kRA2oH4HWChPYGPPWMz,"Dubby",1522988128.904
"Swarvy",232979,1ZeUWnbJxAhy5WzyJmNV88,"Scotchious (Mndsgn Remix)",1522987900.911
"Swarvy",140192,2IAKvVNJce9tNt22wtZdhB,"Hotdox",1522987766.888
"Quelle Chris",161218,6siVeHbnDnTFcCbcmpDtLV,"Dumb for Brains",1522987601.969
"Quelle Chris",199250,07iyfOH8KsKz9Jo1iqm5Qr,"Birthdaze",1522987408.822
"Quelle Chris",340500,6RVfXqz6MTWPuQe5GNUJIj,"I'm That Ni#%a",1522987237.157
"Fredfades",184341,061yCHH9MK4KNZ73YjAjjU,"Breathe (One)",1522986980.647
"ohbliv",122798,0HzfZf5Oq4oHG5QlNHlkbz,"LuvPoem",1522986863.902
"Fly Anakin",97331,6gTsB6szFZhzDkVYY1JS9q,"Huarache Ultras (Bonus)",1522986729.179
"Fly Anakin",131406,6t8oExvGoAuMODbfqEVjPt,"Swanton Bomb",1522986573.293
"Fly Anakin",282230,6PsdcnuhIkH5d7DKffHq1Z,"Room Temp Agua",1522986425.493
"Fly Anakin",116385,0x3NcHCHAfv88NPaggax0h,"Vag Manifesto",1522986387.426
"Fly Anakin",155316,1uwBxPTmsWyivKMU5QfHf5,"Memory Foam",1522986206.864
"Fly Anakin",151212,07PGAK6VfXoTK2dBBVKd2m,"Bstfrnd's Interlood.",1522986135.037
"Fly Anakin",218369,63A66lAc7Kg91xnCfbE4SY,"When Thugs Cry",1522985923.026
"Fly Anakin",159023,0kcRmGKTVtbQIUQImtdJQu,"Mutant Vengeance",1522985768.979
"Fly Anakin",81818,0yQIgk35VsAhHIiG5854Lv,"Magnovox Vision",1522985692.179
"Fly Anakin",83423,1ml2S6TNjTUY5fmpD6S3SE,"New Day (Funeral Music)",1522985491.377
"Fly Anakin",93440,1xnZssHiiOxlQRYRgpGD1N,"LxcvlsXnly 2",1522985404.124
"Tuamie",66742,0pqQ4qv1bXocT0pltEIUx6,"Feelings",1522985349.132
"Tuamie",67055,2aN1nPOGwFQA0lphcGbiYx,"8 Hours of Netflix",1522985293.682
"Quasimoto",194746,4otXDehybuDBclKDqo6Zb1,"Microphone Mathematics",1522985183.723
"Nipsey Hussle",361280,4iVD0fTHGxV9JWloujsL3s,"Double Up (feat. Belly and Dom Kennedy) - Bonus Track",1522985078.447
"Dom Kennedy",215724,2wbE8mWE0z7ffxIkbzENXi,"Lets Be Friends",1522984868.823
"Dom Kennedy",286614,6cXttuFHfvUH2sxhmCBOke,"Posted in the Club [Extended]",1522984810.203
"Dom Kennedy",242416,7yyLS9EduxPnrISKU4rb2h,"After School",1522984775.052
"Dom Kennedy",193820,0mzYS3g5DbtQQ1yLnJn72T,"Lemonade",1522984587.312
"courtesy of half-a-mil",202171,0z5UtKM9po3U3pDGeLWNer,"Bottled Water",1522984383.089
"Dom Kennedy",168315,6e2cZadrpYLe635arJ4ywB,"323 Go Crazy",1522984283.472
"Dom Kennedy",223338,4y4gIF4tD785sjnCFAtqRu,"When I Come Around",1522984052.125
"Dom Kennedy",198014,7yflDT7Hm2j9Y8BFqf5IqT,"Dream To Me",1522983846.861
"Dom Kennedy",193656,64j9yg1wGwHVcrdzM4bBBb,"Word Around Town",1522983627.128
"Kendrick Lamar",460573,23luOrEVHMfoX0AhfbQuS6,"FEAR.",1522983577.91
"Dom Kennedy",198014,7yflDT7Hm2j9Y8BFqf5IqT,"Dream To Me",1522983385.79
"Dom Kennedy",218698,7gYtzSmzGgpO0WygzfJroD,"Locals Only",1522983167.159
"Vic Mensa",220395,5O3RkxV98C4scNgom1Eaue,"Orange Soda",1522982953.736
"Manwolves",222722,0pMechXBXLrMwb1B9KZwqM,"Sauce",1522982920.434
"Granata",184167,0sAtwVD52Qf7qMPluFmhR6,"Flamingos",1522982764.786
"Granata",255216,27x2tIcwJswikH4dOgUg5x,"You Dont Need Me",1522982509.45
"Antwon",102912,5gIF8H7tzpQDESH8kLXikX,"40 Bag (Remix)",1522982451.02
"Antwon",122958,4VQmiZLeGHUosdXtcXCfRQ,"Turn 2 Die",1522982394.643
"Cozz",226706,1UzJ6nY7vFyzMD7ifbc5nU,"Tabs",1522982246.137
"J Dilla",71666,3T3oG6g4aTqPzvy8bAD6Kw,"Welcome To The Show",1522982121.254
