"Jaylib",211520,5JUEfEsVmgEGI6SMbFH3gq,The Official,1522729995.509
"Kendrick Lamar",248613,0y9uTzK9cNKSAEHnpeRG8C,DUCKWORTH.,1522729745.958
"Madvillain",150520,1P3eYnB5KiF4S2qZ7iQnOP,Raid,1522729601.518
"Bas",196053,0eFUkTyGUYcjYazR3mmYWm,Ricochet,1522723188.965
"Chicano Batman",275053,4P9qJdsEiLntnK2LWJEq0u,Para Agradecer,1522722920.032
"Bobbi Humphrey",413893,75beUJVji54O01lbMrpVG6,New York Times - 2002 - Remaster,1522722502.453
"Wu-Tang Clan",252186,119c93MHjrDLJTApCVGpvx,C.R.E.A.M.,1522722245.122
"Evil Needle",233508,7e5SGWf9p2SpzKBjgWlzdq,Comfort Zone,1522721999.479
"MGMT",229640,3FtYbEfBqAlGO46NUDQSAt,Electric Feel,1522721946.097
"Kanye West",243440,6bXOlIfGIWh7Tyn4oyvLQW,I Wonder,1522721891.586
"Sleepdealer",67594,0KoQK0MV5aizXNMZ3pJIuK,1974,1522721814.816
