"Menahan Street Band",228920,7zli6jp0kEVxIa51A7TCKr,"The Contender",1524595657.389
"Shlohmo",302210,629Cjw0fUyZUMkBjnjttDR,"Places",1524595330.771
"MF DOOM",204133,2JrOYP9EYr9ENtR4gaL0j0,"Saffron",1524595114.696
"AKTHESAVIOR",199365,1WcwRRRaRSjwiVUJpgBu7m,"Melting Amethyst",1524594901.724
"J. Cole",200309,5S9alBPKlNUOeXHJXiqeSx,"Kevin’s Heart",1524594696.198
"CRIMEAPPLE",240000,4ouQkak8DBTNd4pNSnjYap,"Thought You Should Know",1524594462.272
"lojii",138202,4fIGn62i1gtuzsi9Bzgxed,"due rent",1524591497.048
"Wiki",291844,035kaqEaMGm8XaODrMJV9C,"Made for This",1524591185.599
"CRIMEAPPLE",240000,4ouQkak8DBTNd4pNSnjYap,"Thought You Should Know",1524590900.427
"Calez",251062,49aG1aeAhtoAr9zxNK2bg4,"Play Last",1524590639.7
"HOMESHAKE",208878,7DvGSXC8FDqz2NZyEaIbEM,"Chowder",1524590578.732
"Swarvy",126836,7HTMhGfAoYLqPXPZ83OU0m,"Rising Sun / See The Sky",1524590456.041
"Erykah Badu",325960,0ZKCq8E5QS4lRjEtFvZqZX,"Get MuNNY",1524590231.604
"Cosmo Pyke",270926,2RGe02P8xxSF9syj0ltPjX,"Chronic Sunshine",1524589963.892
"Scienze",209377,1Mf0wMktULmsA4cqXOPcPB,"Charlie Brown (feat. Blu)",1524589757.661
"Anti-Lilly & Phoniks",200829,3oNn2Qg40BPekTa4zxpSp2,"Blue in Green",1524589561.133
"Jack Johnson",219080,3piY5aMfwEEmXMV6I9kpoi,"Imagine",1524589510.499
"Jack Johnson",207680,4VywXu6umkIQ2OS0m1I79y,"Better Together",1524589306.034
"Jack Johnson",191906,451GvHwY99NKV4zdKPRWmv,"Banana Pancakes",1524588992.674
"LCD Soundsystem",536471,2cmRpmO04TLaKPzmAzySYZ,"Dance Yrself Clean",1524588459.389
"LCD Soundsystem",335480,5rAff9XfcWx7rguN3t0fkW,"New York, I Love You But You're Bringing Me Down",1524588126.556
"Dr. Yen Lo",193800,4eofFz5KNkn0ck4vqaxDXR,"Day 811",1524536143.166
