"Odd Future",202066,67nRofeeMvysUeO4FxB6tL,"Sam (Is Dead)",1522874199.053
"Brothers From Another",221913,4uVcEzZp1s2cIyFUOgXk72,"All You (feat. Ariana Deboo)",1522874042.974
"Phony Ppl",230973,2zk7TQx9Xa4yxYmsjgDCPp,"Somehow.",1522873826.568
"Quelle Chris",213000,7sij1RXUTjEBZEkGGtWgxR,"Popeye",1522873602.265
"Mick Jenkins",274825,7tkqxOV765aQ6s45fBijjt,"Vibe",1522873300.749
"Rich The Kid",175510,0gD6lWJhbXHWNVwQziSVvl,"Plug Walk",1522873163.04
"Quasimoto",171893,575MuGFrdfOFBsICmpBtsr,"Seasons Change",1522873008.476
"Injury Reserve",264983,1vup3vAmSmFLxSIzGOM38V,"S on Ya Chest",1522872712.858
"Blu & Exile",236465,5hYEaLnayI7QbBV9vXyu5Y,"Maybe One Day (feat. Black Spade)",1522872547.645
"A Tribe Called Quest",257826,4MdEYuoGhG2RTG3erOiu2H,"Vibes and Stuff",1522872422.287
"Freddie Gibbs",199053,2uB9gUU1HLnHckvK2tylJM,"Deeper",1522872218.441
"Camp Lo",229482,1LlWuOT2Y8JG9fRDBgEc3T,"Superfly",1522871994.749
"Blu",192080,3gXK6q2AmAU0fVMRYzLkKX,"Cold Hearted",1522871881.604
"MF Grimm",165790,531ODFOh8zlAtsV5Z1iJ0N,"Teacher",1522871703.573
"Madlib",238506,5mUNFqUbA1bY9l1qT9tyHT,"Distant Land",1522871461.601
"People Under The Stairs",276733,5roUoEWuTQ8Z8meO0A1Pcf,"Pictures On My Wall",1522871402.788
"Jonwayne",274575,20uzp1tAHf9LeA76teF9QB,"40 Winks",1522871134.07
"Jaylib",211520,5JUEfEsVmgEGI6SMbFH3gq,"The Official",1522870929.698
"The Pharcyde",292053,17scDKWU4B9ahaKHsQpj2m,"Passin' Me By - Fly As Pie Mix",1522870613.815
"Statik Selektah",214293,2MkFXCcdvVl0LkZmFQ5vYK,"Bird's Eye View",1522870405.626
"Black Moon",279106,53aUYPTwJe6YrbSs8lQCEF,"Buck Em Down",1522870188.23
"Danny Brown",211418,7sVWaKkGHotMdumFe6Ecph,"Float On (feat. Charli XCX)",1522869982.926
"Illa J",140689,242xSYKIw1ZUF1lopmUwyk,"Sam Cook",1522869835.897
"Blu & Exile",125026,2Zq2mhqRKR9AaurHtUF8Ew,"Good Morning Neighbor",1522869716.95
"Talib Kweli",311040,2qrULrw1WvePyMkPr41F09,"Fortified Live (feat. Yasiin Bey & Mr. Man)",1522869557.807
"Busdriver",315564,1xSbrJK5n4NCgjoUaLDDai,"Worlds to Run",1522826295.898
"The Alchemist",221213,6avaaa2YF30NnYSoiy8R2Q,"Terry",1522826080.762
"Dom Kennedy",193919,0G1ds3IRHW8EutuTbvxyoY,"My First Reply (Till It's Over)",1522825888.348
"Blakface x SeanWyze",240001,3vWGiqCTp02FVMDgqjr3eN,"Stars",1522825619.682
"Thundercat",188385,5dcZUsgcMW57ju0A379O7c,"Them Changes",1522825437.164
"MF DOOM",225826,1T9Ux4B1Jlb2jcsboQqIBK,"Arrow Root",1522825192.883
"Brothers From Another",221913,4uVcEzZp1s2cIyFUOgXk72,"All You (feat. Ariana Deboo)",1522824977.185
"Danny Brown",211418,7sVWaKkGHotMdumFe6Ecph,"Float On (feat. Charli XCX)",1522824749.845
"Gang Starr",221626,7Guni9Kv4cxajoglZLzfuN,"Above The Clouds",1522824534.309
